Id,SMILES,mu
train_0,[H]N1C(=O)O[C@@](C([H])([H])[H])(C([H])([H])C([H])([H])[H])C1([H])[H],4.7864
train_1,[H]O/C1=C2C(=C(/[H])N1[H])/C([H])([H])C([H])([H])C/2([H])[H],0.7142
train_2,[H][N-]C1=C([H])[C@H](N([H])C([H])([H])[H])C(=O)N1[H],1.8529
train_3,[H]OC([H])([H])[C@]1(C([H])([H])[H])O[C@@]2([H])C([H])([H])O[C@]21[H],1.9303
train_4,[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H],0.321
train_5,[H]C1=C([H])[C@]23OC([H])([H])[C@@]2([H])[C@]2([H])[C@@]1([H])[C@]32[H],1.7554
train_6,[H]OC([H])([H])[C@@]1(C([H])([H])[H])C([H])([H])OC([H])([H])C([H])([H])C1([H])[H],2.5407
train_7,[H]C([H])([H])[C@]([H])(C#N)C([H])([H])[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])[H],4.261
train_8,[H]C([H])([H])[C@]1([H])[C@]2([H])[C@]3([H])O[C@]3([H])[C@@]21[H],1.7951
train_9,[H][C@@]12N3C(=O)O[C@]1([H])[C@]2([H])C3=O,5.9628
train_10,[H]OC1=NN(C([H])([H])C([H])([H])O[H])C([H])=N1,1.7839
train_11,[H]C1([H])[C@@]2([H])O[C@@]3([H])C([H])([H])[C@]1([H])C([H])([H])[C@@]3([H])O2,1.9282
train_12,[H]C1=C(C([H])([H])[H])C([H])([H])[N@@H+](C([H])([H])C#N)C1([H])[H],3.2947
train_13,[H]C1=C(C([H])([H])C([H])([H])[H])C(=O)C(=O)N1[H],5.4996
train_14,[H]C#C[C@]([H])(C([H])=O)C([H])([H])C#CC([H])([H])[H],2.1664
train_15,[H]C1([H])[NH+](C([H])([H])[C@@]2([H])OC(=O)C2([H])[H])C1([H])[H],4.4678
train_16,[H]O[C@]1([H])[C@]([H])(C([H])([H])[H])C(=O)N([H])[C@]1([H])C([H])([H])[H],4.3849
train_17,[H]OC([H])([H])[C@@]12N([H])[C@]1(C([H])=O)C([H])([H])C2([H])[H],2.3888
train_18,[H]C1=C(N([H])C([H])([H])[H])OC(N([H])C([H])([H])[H])=C1[H],1.7258
train_19,[H]C1=NN(C2(C([H])([H])[H])C([H])([H])C2([H])[H])N=C1[H],0.5536
train_20,[H]C1([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C1=O,2.0939
train_21,[H]O/N=C(\C([H])([H])[H])[C@]([H])(C(=O)N([H])[H])C([H])([H])[H],3.4947
train_22,[H][C@]12[N@H+]3[C@]4(C#N)[C@@]3([H])[C@@]1([H])[C@]24[H],4.9509
train_23,[H]/N=C(\[H])N(C1=NOC([H])=N1)C([H])([H])[H],2.0527
train_24,[H]C1([H])[N@H+]2C([H])([H])[C@@]2([H])C([H])([H])OC12C([H])([H])C2([H])[H],1.3706
train_25,[H]OC([H])([H])C([H])([H])[C@]12C([H])([H])[C@]([H])(C1([H])[H])[C@@]2([H])O[H],2.6721
train_26,[H][C+]1[NH2+][C@]2([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]2(C([H])([H])[H])O1,1.8192
train_27,[H]C#C[C@]1([H])C([H])([H])[C@]1(OC([H])=O)C([H])([H])[H],3.5517
train_28,[H]C([H])([H])[C@@]([H])(C#N)[NH+]1[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],4.4085
train_29,[H]OC1=NC(=O)ON=C1N([H])[H],6.5678
train_30,[H]C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[C@]([H])(C([H])([H])C([H])([H])[H])C1([H])[H],0.1251
train_31,[H]C([H])([H])[C@@]1([H])[C@]2([H])[N@H+]3[C@]2([H])[C@]2([H])[C@@]3(C([H])([H])[H])[C@]12[H],1.6731
train_32,[H][N-][C@@H]1OC([H])([H])[C@]([H])(C([H])([H])[H])[C@]2([H])O[C@]12[H],3.7131
train_33,[H]C#C[C@@]([H])(O[H])C([H])([H])N([H])C([H])=O,3.5684
train_34,[H]O[C@]1(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]1([H])OC([H])([H])[H],1.5727
train_35,[H]C([H])([H])[C@@]1([H])C([H])([H])[C@@]2([H])O[C@@]3([H])[C@]1([H])[C@]32C([H])([H])[H],1.835
train_36,[H]N1C(=O)[C@]2([H])O[C@]([H])(C([H])([H])C1([H])[H])C2([H])[H],4.4273
train_37,[H]C#C[C@@]1([H])C(=O)C(=O)C([H])([H])N1[H],3.1387
train_38,[H]OC([H])([H])C([H])([H])[C@]([H])(C#N)O[H],3.9866
train_39,[H]C1([H])O[C@]2(C1([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])C2([H])[H],1.621
train_40,[H]C1=C(C([H])([H])[H])[C@]2([H])O[C@]2([H])C([H])([H])C1([H])[H],1.8498
train_41,[H]C1=NN2C(=[N+]1[H])/N=C(/C([H])([H])[H])[C+]2[H],2.6197
train_42,[H]C#C[C@@]1([H])C(=O)[C@@]2([H])C([H])([H])[C@@]12[H],3.1826
train_43,[H]C(=O)[C@]1([H])C([H])([H])C(=O)C([H])([H])C([H])([H])C1([H])[H],1.0517
train_44,[H]C1=C(F)OC(=O)C([H])=C1[H],4.0865
train_45,[H]/C1=C2C(=C(/C([H])([H])[H])O1)/C([H])([H])OC/2([H])[H],1.073
train_46,[H]OC([H])([H])[C@@]1([H])[C@]2([H])C([H])=C([H])[C@@]1([H])C([H])([H])C2([H])[H],1.4424
train_47,[H]C#C[C@](O[H])(C([H])([H])C#N)C([H])([H])C([H])([H])[H],4.903
train_48,[H]C(=O)C1=NC(C([H])([H])[H])=C([H])C([H])=C1[H],3.716
train_49,[H]C(=O)[C@@]12OC(=O)[C@]1([H])C2([H])[H],5.0097
train_50,[H]C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C(=O)C(=O)[O-],12.1634
train_51,[H]N1C(=O)C([H])([H])[C@]2(C([H])([H])[H])OC([H])([H])[C@]12[H],3.7811
train_52,[H]N([H])C(=O)C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],3.4255
train_53,[H]C1([H])[C@]2([H])[C@]3([H])C(=O)C(=O)[C@@]1([H])[C@@]32[H],5.2295
train_54,[H]OC([H])([H])[C@]1([H])O[C@]2([H])C([H])([H])[C@]2(O[H])C1([H])[H],2.8322
train_55,[H]C#C[C@]1([H])C([H])([H])[C@]2(O[C@]2([H])C([H])([H])[H])C1([H])[H],1.7653
train_56,[H]C#CC([H])([H])[C@@]1(C([H])([H])O[H])N([H])C1([H])[H],1.735
train_57,[H]N([H])[C@@]([H])(C(=O)OC([H])([H])C#N)C([H])([H])[H],3.4073
train_58,[H]O[C@]12C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[C@@]1([H])C2([H])[H],2.4971
train_59,[H]C([H])([H])C([H])([H])[C@]1(C#N)C(=O)C([H])([H])C1([H])[H],4.6883
train_60,[H]N(C(=O)C([H])([H])[H])C([H])([H])[C@]1([H])OC([H])([H])C1([H])[H],3.0149
train_61,[H]OC([H])([H])C([H])([H])[C@@]1(O[H])C([H])([H])[C@@]1([H])C([H])([H])O[H],1.6481
train_62,[H]OC1=C([H])N([H])C2=C1OC([H])([H])C2([H])[H],2.7604
train_63,[H]C1([H])C([H])([H])C1([H])[C@]1([H])O[C@@]([H])(C#N)C1([H])[H],4.6494
train_64,[H]N1[C@]2([H])[C@@]1([H])C([H])([H])[C@]21[C@@]2([H])C([H])([H])C([H])([H])[C@]21[H],1.6016
train_65,[H]O[C@@]([H])(C#N)C#CC#CC([H])([H])[H],4.7017
train_66,[H][N-][C@@H]1O[C@@]([H])(C2([H])C([H])([H])C2([H])[H])[C@]1([H])O[H],1.8641
train_67,[H]C1([H])C([H])([H])[C@]2([H])[C@@]1([H])[C@]1([H])C([H])([H])[C@@]12C([H])([H])[H],0.286
train_68,[H]N1[C@@]2([C@]3([H])N([H])[C@]3([H])C([H])([H])[H])C([H])([H])C([H])([H])[C@@]12[H],0.3247
train_69,[H]OC([H])([H])[C@]1(C#N)C([H])([H])[C@]1([H])N([H])C([H])([H])[H],4.2454
train_70,[H]C#C[C@@]1([H])C(NO[H])C([H])=C([H])C1([H])[H],1.3725
train_71,[H]C1=C([H])[N+]([H])=NC(C([H])([H])[H])=C1NC([H])([H])[H],3.7491
train_72,[H]N([H])[C@@]1(C#N)C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],3.0619
